2022-12-03 16:36:31,435 | INFO | Tello instance was initialized. Host: '192.168.10.1'. Port: '8889'.
2022-12-03 16:36:31,435 | INFO | Trying to connect to the drone now!
2022-12-03 16:36:31,452 | INFO | Send command: 'command'
2022-12-03 16:36:31,563 | INFO | Response command: 'ok'
2022-12-03 16:36:33,510 | INFO | Send command: 'mon'
2022-12-03 16:36:33,625 | INFO | Response mon: 'ok'
2022-12-03 16:36:33,625 | INFO | Send command: 'mdirection 0'
2022-12-03 16:36:33,841 | INFO | Response mdirection 0: 'ok'
2022-12-03 16:36:33,857 | INFO | Send command: 'motoron'
2022-12-03 16:36:33,966 | INFO | Response motoron: 'ok'
2022-12-03 16:36:33,982 | INFO | Send command: 'takeoff'
2022-12-03 16:36:38,194 | INFO | Send command: 'up 20'
2022-12-03 16:36:38,748 | INFO | Response up 20: 'error Not joystick'
2022-12-03 16:36:38,764 | INFO | Send command: 'up 20'
2022-12-03 16:36:39,343 | INFO | Response takeoff: 'error Not joystick'
2022-12-03 16:36:39,359 | INFO | Send command: 'takeoff'
2022-12-03 16:36:39,422 | INFO | Response up 20: 'error'
2022-12-03 16:36:39,437 | INFO | Send command: 'up 20'
2022-12-03 16:36:39,615 | INFO | Send command: 'up 20'
2022-12-03 16:36:40,052 | INFO | Response up 20: 'error Not joystick'
2022-12-03 16:36:40,052 | INFO | Send command: 'up 20'
2022-12-03 16:36:40,599 | INFO | Response up 20: 'error Not joystick'
2022-12-03 16:36:40,615 | INFO | Send command: 'up 20'
2022-12-03 16:36:41,166 | INFO | Response up 20: 'error Not joystick'
2022-12-03 16:36:42,696 | INFO | Send command: 'up 20'
2022-12-03 16:36:42,848 | INFO | Response up 20: 'ok'
2022-12-03 16:36:44,312 | INFO | Response takeoff: 'ok'
2022-12-03 16:36:46,411 | INFO | Send command: 'up 20'
2022-12-03 16:36:48,198 | INFO | Response up 20: 'ok'
2022-12-03 16:36:50,011 | INFO | Send command: 'right 20'
2022-12-03 16:36:51,781 | INFO | Response right 20: 'ok'
2022-12-03 16:36:53,032 | INFO | Send command: 'left 20'
2022-12-03 16:36:53,457 | WARNING | Aborting command 'up 20'. Did not receive a response after 7 seconds
2022-12-03 16:36:53,458 | INFO | Send command: 'up 20'
2022-12-03 16:36:54,789 | INFO | Response up 20: 'ok'
2022-12-03 16:36:56,870 | INFO | Send command: 'right 20'
2022-12-03 16:36:58,517 | INFO | Response right 20: 'ok'
2022-12-03 16:36:59,483 | INFO | Send command: 'right 20'
2022-12-03 16:37:00,067 | WARNING | Aborting command 'left 20'. Did not receive a response after 7 seconds
2022-12-03 16:37:00,067 | INFO | Send command: 'left 20'
2022-12-03 16:37:01,234 | INFO | Response right 20: 'ok'
2022-12-03 16:37:02,173 | INFO | Send command: 'left 20'
2022-12-03 16:37:04,114 | INFO | Response left 20: 'ok'
2022-12-03 16:37:04,162 | INFO | Send command: 'left 20'
2022-12-03 16:37:06,025 | INFO | Response left 20: 'ok'
2022-12-03 16:37:08,021 | INFO | Send command: 'left 20'
2022-12-03 16:37:09,903 | INFO | Response left 20: 'ok'
2022-12-03 16:37:11,129 | INFO | Send command: 'left 20'
2022-12-03 16:37:13,188 | INFO | Response left 20: 'ok'
2022-12-03 16:37:14,088 | INFO | Send command: 'left 20'
2022-12-03 16:37:16,284 | INFO | Response left 20: 'ok'
2022-12-03 16:37:18,176 | WARNING | Aborting command 'left 20'. Did not receive a response after 7 seconds
2022-12-03 16:37:18,177 | INFO | Send command: 'left 20'
2022-12-03 16:37:20,076 | INFO | Send command: 'left 20'
2022-12-03 16:37:20,161 | INFO | Response left 20: 'ok'
2022-12-03 16:37:20,932 | INFO | Send command: 'left 20'
2022-12-03 16:37:22,916 | INFO | Response left 20: 'ok'
2022-12-03 16:37:23,607 | INFO | Send command: 'left 20'
2022-12-03 16:37:25,800 | INFO | Response left 20: 'ok'
2022-12-03 16:37:26,420 | INFO | Send command: 'up 20'
2022-12-03 16:37:27,092 | WARNING | Aborting command 'left 20'. Did not receive a response after 7 seconds
2022-12-03 16:37:27,093 | INFO | Send command: 'left 20'
2022-12-03 16:37:28,392 | INFO | Response up 20: 'ok'
2022-12-03 16:37:29,565 | INFO | Send command: 'down 20'
2022-12-03 16:37:31,434 | INFO | Response down 20: 'ok'
2022-12-03 16:37:32,955 | INFO | Send command: 'forward 20'
2022-12-03 16:37:34,117 | WARNING | Aborting command 'left 20'. Did not receive a response after 7 seconds
2022-12-03 16:37:34,117 | INFO | Send command: 'left 20'
2022-12-03 16:37:34,601 | INFO | Response forward 20: 'ok'
2022-12-03 16:37:35,337 | INFO | Send command: 'back 20'
2022-12-03 16:37:37,205 | INFO | Response back 20: 'ok'
2022-12-03 16:37:37,897 | INFO | Send command: 'forward 20'
2022-12-03 16:37:39,138 | INFO | Send command: 'forward 20'
2022-12-03 16:37:39,471 | INFO | Response forward 20: 'ok'
2022-12-03 16:37:41,133 | WARNING | Aborting command 'left 20'. Did not receive a response after 7 seconds
2022-12-03 16:37:42,567 | INFO | Send command: 'land'
2022-12-03 16:37:44,922 | WARNING | Aborting command 'forward 20'. Did not receive a response after 7 seconds
2022-12-03 16:37:44,923 | INFO | Send command: 'forward 20'
2022-12-03 16:37:45,001 | INFO | Response land: 'error Auto land'
2022-12-03 16:37:45,002 | INFO | Send command: 'land'
2022-12-03 16:37:47,100 | INFO | Response land: 'ok'
2022-12-03 16:37:48,718 | INFO | Send command: 'mon'
2022-12-03 16:37:48,777 | INFO | Response forward 20: 'ok'
2022-12-03 16:37:50,692 | INFO | Send command: 'mon'
2022-12-03 16:37:50,798 | INFO | Response mon: 'ok'
2022-12-03 16:37:50,799 | INFO | Send command: 'mdirection 0'
2022-12-03 16:37:50,907 | INFO | Response mdirection 0: 'ok'
2022-12-03 16:37:50,923 | INFO | Send command: 'motoron'
2022-12-03 16:37:51,018 | INFO | Response mon: 'ok'
2022-12-03 16:37:51,033 | INFO | Send command: 'mdirection 0'
2022-12-03 16:37:51,144 | INFO | Response mdirection 0: 'ok'
2022-12-03 16:37:51,160 | INFO | Send command: 'motoron'
2022-12-03 16:37:51,255 | INFO | Response motoron: 'error'
2022-12-03 16:37:51,270 | INFO | Send command: 'motoron'
2022-12-03 16:37:51,380 | INFO | Response motoron: 'error'
2022-12-03 16:37:51,397 | INFO | Send command: 'motoron'
2022-12-03 16:37:51,491 | INFO | Response motoron: 'error'
2022-12-03 16:37:51,507 | INFO | Send command: 'motoron'
2022-12-03 16:37:51,616 | INFO | Response motoron: 'error'
2022-12-03 16:37:51,632 | INFO | Send command: 'motoron'
2022-12-03 16:37:51,726 | INFO | Response motoron: 'error'
2022-12-03 16:37:58,683 | WARNING | Aborting command 'motoron'. Did not receive a response after 7 seconds
